race,outcome,term,estimate,std.error,statistic,p.value,lci,hci,or,or_lci,or_hci,reference,p,out
Latinx,AD + MCI,"Intermediate, e2+",-0.31,0.42,-0.75,0.45026016991967777,-1.13,0.5,0.73,0.32,1.65,FALSE,0.45026,"OR [95% CI] = 0.73 [0.32, 1.65], p = 0.45026"
Latinx,AD + MCI,"Intermediate, e4+",0.8,0.19,4.26,2.0177394567032587e-5,0.43,1.16,2.22,1.54,3.2,FALSE, 2.0e-05,"OR [95% CI] = 2.22 [1.54, 3.2], p =  2.0e-05"
Black,AD + MCI,"Unfavourable, e2+",0.06,0.29,0.2,0.8433882934046729,-0.52,0.64,1.06,0.6,1.89,FALSE,0.84339,"OR [95% CI] = 1.06 [0.6, 1.89], p = 0.84339"
Black,AD + MCI,"Unfavourable, e3/e3",0.03,0.18,0.18,0.8550278941971936,-0.31,0.38,1.03,0.73,1.46,FALSE,0.85503,"OR [95% CI] = 1.03 [0.73, 1.46], p = 0.85503"
Black,AD + MCI,"Unfavourable, e4+",1.15,0.15,7.39,1.4457864068574385e-13,0.84,1.45,3.14,2.32,4.26,FALSE, 1.4e-13,"OR [95% CI] = 3.14 [2.32, 4.26], p =  1.4e-13"
Black,AD + MCI,"Favourable, e2+",-0.93,0.49,-1.91,0.05672901056311241,-1.89,0.03,0.39,0.15,1.03,FALSE,0.05673,"OR [95% CI] = 0.39 [0.15, 1.03], p = 0.05673"
Black,AD + MCI,"Favourable, e3/e3",-0.31,0.28,-1.13,0.26017274113337774,-0.85,0.23,0.73,0.43,1.26,FALSE,0.26017,"OR [95% CI] = 0.73 [0.43, 1.26], p = 0.26017"
Black,AD + MCI,"Favourable, e4+",0.56,0.22,2.61,0.009079955382570554,0.14,0.99,1.76,1.15,2.68,FALSE,0.00908,"OR [95% CI] = 1.76 [1.15, 2.68], p = 0.00908"
Black,AD + MCI,"Intermediate, e2+",-0.58,0.23,-2.56,0.010492083294762007,-1.02,-0.14,0.56,0.36,0.87,FALSE,0.01049,"OR [95% CI] = 0.56 [0.36, 0.87], p = 0.01049"
Black,AD + MCI,"Intermediate, e4+",0.86,0.13,6.84,7.998846372602115e-12,0.61,1.11,2.36,1.85,3.02,FALSE, 8.0e-12,"OR [95% CI] = 2.36 [1.85, 3.02], p =  8.0e-12"
